dates,values
2018-04-28 00:00,11.942
2018-04-29 00:00,12.785
2018-04-30 00:00,13.687
2018-05-01 00:00,16.905
2018-05-02 00:00,17.636
2018-05-03 00:00,18.274
2018-05-04 00:00,18.816
2018-05-05 00:00,18.861
2018-05-06 00:00,18.941
2018-05-07 00:00,18.873
2018-05-08 00:00,19.011
2018-05-09 00:00,19.212
2018-05-10 00:00,19.039
2018-05-11 00:00,19.022
2018-05-12 00:00,18.980
2018-05-13 00:00,19.015
2018-05-14 00:00,19.090
2018-05-15 00:00,18.970
2018-05-16 00:00,18.794
2018-05-17 00:00,18.552
2018-05-18 00:00,18.475
2018-05-19 00:00,18.455
2018-05-20 00:00,18.484
2018-05-21 00:00,18.402
2018-05-22 00:00,18.290
2018-05-23 00:00,18.132
2018-05-24 00:00,18.219
2018-05-25 00:00,18.260
2018-05-26 00:00,18.394
2018-05-27 00:00,18.299
2018-05-28 00:00,18.194
2018-05-29 00:00,18.184
2018-05-30 00:00,18.158
2018-05-31 00:00,18.144
2018-06-01 00:00,18.171
2018-06-02 00:00,17.933
2018-06-03 00:00,17.793
2018-06-04 00:00,17.995
2018-06-05 00:00,18.102
2018-06-06 00:00,18.104
2018-06-07 00:00,18.239
2018-06-08 00:00,18.283
2018-06-09 00:00,18.524
2018-06-10 00:00,18.744
2018-06-11 00:00,18.831
2018-06-12 00:00,18.901
2018-06-13 00:00,18.810
2018-06-14 00:00,18.870
2018-06-15 00:00,18.961
2018-06-16 00:00,19.051
2018-06-17 00:00,19.060
2018-06-18 00:00,18.942
2018-06-19 00:00,18.731
2018-06-20 00:00,18.661
2018-06-21 00:00,18.563
2018-06-22 00:00,18.575
2018-06-23 00:00,18.624
2018-06-24 00:00,18.634
2018-06-25 00:00,18.507
2018-06-26 00:00,18.569
2018-06-27 00:00,18.701
2018-06-28 00:00,18.666
2018-06-29 00:00,18.486
2018-06-30 00:00,18.046
2018-07-01 00:00,17.616
2018-07-02 00:00,17.769
2018-07-03 00:00,17.718
2018-07-04 00:00,17.671
2018-07-05 00:00,17.964
2018-07-06 00:00,17.917
2018-07-07 00:00,17.968
2018-07-08 00:00,18.080
2018-07-09 00:00,18.046
2018-07-10 00:00,18.391
2018-07-11 00:00,18.527
2018-07-12 00:00,18.365
2018-07-13 00:00,18.258
2018-07-14 00:00,18.237
2018-07-15 00:00,18.285
2018-07-16 00:00,18.234
2018-07-17 00:00,17.962
2018-07-18 00:00,17.637
2018-07-19 00:00,17.479
2018-07-20 00:00,17.439
2018-07-21 00:00,17.444
2018-07-22 00:00,17.162
2018-07-23 00:00,16.803
2018-07-24 00:00,16.677
2018-07-25 00:00,16.752
2018-07-26 00:00,16.648
2018-07-27 00:00,16.677
2018-07-28 00:00,16.568
2018-07-29 00:00,16.291
2018-07-30 00:00,16.074
2018-07-31 00:00,15.951
2018-08-01 00:00,15.831
2018-08-02 00:00,15.631
2018-08-03 00:00,15.591
2018-08-04 00:00,15.504
2018-08-05 00:00,15.565
2018-08-06 00:00,15.705
2018-08-07 00:00,15.536
2018-08-08 00:00,15.287
2018-08-09 00:00,15.351
2018-08-10 00:00,15.363
2018-08-11 00:00,15.282
2018-08-12 00:00,15.347
2018-08-13 00:00,15.548
2018-08-14 00:00,15.685
2018-08-15 00:00,15.776
2018-08-16 00:00,15.723
2018-08-17 00:00,15.463
2018-08-18 00:00,15.594
2018-08-19 00:00,15.819
2018-08-20 00:00,15.682
2018-08-21 00:00,15.726
2018-08-22 00:00,15.827
2018-08-23 00:00,15.921
2018-08-24 00:00,16.094
2018-08-25 00:00,16.010
2018-08-26 00:00,15.943
2018-08-27 00:00,15.847
2018-08-28 00:00,15.788
2018-08-29 00:00,15.454
2018-08-30 00:00,15.141
2018-08-31 00:00,14.769
2018-09-01 00:00,14.487
2018-09-02 00:00,14.196
2018-09-03 00:00,13.853
2018-09-04 00:00,13.478
2018-09-05 00:00,13.605
2018-09-06 00:00,13.664
2018-09-07 00:00,13.728
2018-09-08 00:00,13.764
2018-09-09 00:00,13.683
2018-09-10 00:00,13.965
2018-09-11 00:00,14.284
